"id","run.order","std.order","load","bh","fr","y","mAb"
9,12,6,0,0,1,2.6,"mAb09"
9,13,6,1,-1,1,2.65,"mAb09"
9,14,5,0,0,-1,2.73,"mAb09"
9,15,4,1,1,-1,2.74,"mAb09"
9,16,7,0,0,0,2.73,"mAb09"
10,1,4,0,1,0,2.56,"mAb10"
10,2,2,1,-1,-1,2.59,"mAb10"
10,3,5,-1,-1,1,2.19,"mAb10"
10,4,7,-1,1,1,2.18,"mAb10"
10,5,3,-1,1,-1,2.57,"mAb10"
10,6,1,-1,0,0,2.29,"mAb10"
10,7,8,1,1,1,2.32,"mAb10"
10,8,1,-1,-1,-1,2.21,"mAb10"
10,9,2,1,0,0,2.4,"mAb10"
10,10,9,0,0,0,2.3,"mAb10"
10,11,3,0,-1,0,2.22,"mAb10"
10,12,6,0,0,1,2.32,"mAb10"
10,13,6,1,-1,1,2.48,"mAb10"
10,14,5,0,0,-1,2.23,"mAb10"
10,15,4,1,1,-1,2.09,"mAb10"
10,16,7,0,0,0,2.3,"mAb10"
